Name,N2-rep1,N2-rep2,N2-rep3,Gld2-rep1,Gld2-rep2,Gld2-rep3,Cpb3-rep1,Cpb3-rep2,Cpb3-rep3,Gld2-pcb19-rep1,Gld2-pcb19-rep2,Gld2-PARN1-rep1,Gld2-PARN1-rep2,Gld2-CAF1-rep1,Gld2-CAF1-rep2,Gld2-PANL2-rep1,Gld2-PANL2-rep2,Gld2-CCF1-rep1,Gld2-CCF1-rep2,Gld2-CCR4-rep1,Gld2-CCR4-rep2,1-2-cell-egg-rep1,1-2-cell-egg-rep2
NR_000584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073489,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NR_069515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NR_069517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073494,15,18,25,40,29,9,20,21,1,14,2,11,21,8,26,30,3,3,18,9,6,0,2
NM_073496,6,13,8,22,11,14,3,4,0,1,0,2,4,4,5,0,1,3,2,0,1,0,0
NR_069522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269392/NM_001269391,26,19,23,37,59,23,17,25,8,17,3,8,27,12,6,29,2,3,9,6,7,10,0
NM_001136437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269394/NM_001269393,23,5,5,23,3,14,6,13,0,1,3,7,9,5,6,10,1,1,6,1,8,15,3
NR_069536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073501,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
NR_069540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073504/NM_001129542/NR_069547,0,7,9,20,20,5,5,5,1,0,0,0,4,5,0,7,1,1,1,9,3,0,0
NM_073505,211,170,314,403,453,209,192,268,23,155,31,128,239,99,136,354,103,59,111,221,209,31,31
NM_073510,1,4,2,2,0,0,7,1,0,0,2,1,0,0,2,1,1,0,0,0,2,0,0
NM_073511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NR_069549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_000588,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0
NM_073514,180,205,279,259,209,110,140,266,24,52,21,42,141,61,80,181,35,44,57,72,94,10,30
NM_073515,159,135,253,194,244,134,141,282,64,42,10,47,92,44,30,164,36,21,43,92,66,16,27
NR_069550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069552,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001028571/NR_069553,240,243,330,322,506,187,268,397,83,283,75,246,446,230,492,2087,228,188,254,442,307,116,65
NM_073516,415,568,672,550,481,156,533,685,72,284,37,100,325,161,173,439,90,129,303,202,332,186,224
NR_069555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM_073518,1,14,17,121,59,29,5,7,2,12,5,4,20,9,21,22,13,9,14,9,16,1,0
NM_073519,4,7,17,16,30,1,2,12,2,9,5,8,12,1,9,14,4,1,5,14,12,0,2
NM_073520,20,46,47,49,62,20,20,38,2,40,10,29,27,29,39,124,11,14,31,35,24,8,11
NM_073521,7,12,16,103,81,26,20,19,0,13,4,6,20,8,7,7,2,5,29,11,19,1,0
NM_073523,8,10,13,40,22,14,21,13,0,11,3,7,14,8,16,15,3,5,14,11,8,0,0
NR_069558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_102073/NR_069560,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NR_069561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073532/NM_073533,243,278,390,405,382,186,158,303,41,167,36,197,227,128,255,740,126,87,150,211,210,149,107
NR_024309,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_073540,12,18,31,55,41,20,16,16,2,11,8,11,54,12,26,19,4,8,38,25,24,9,9
NM_073541,20,37,56,40,43,13,22,36,1,20,4,10,23,10,10,21,7,13,23,9,22,3,0
NM_073542,21,9,45,40,29,15,5,11,1,5,0,10,3,2,3,26,13,6,2,5,3,0,4
NM_073546,1,4,6,9,5,2,3,11,0,4,1,5,0,0,2,5,0,0,0,1,2,3,0
NR_069565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069566,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NM_001269411/NM_001269413/NM_001269412/NR_069568,8,3,15,21,8,3,7,4,2,4,0,2,2,3,2,15,1,1,1,9,6,0,0
NR_069569,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0
NM_001269418/NM_001269417/NM_001269416/NM_001269415/NM_001269414/NM_001276934,25,38,53,53,42,26,30,51,4,21,7,15,63,24,24,43,11,10,39,29,45,11,4
NR_102074/NR_069572,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NM_073550,128,135,244,475,344,188,115,196,22,102,17,77,86,102,120,172,44,17,62,89,132,46,97
NR_069574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269420/NM_001269419,38,31,68,6,3,5,24,41,11,0,0,1,4,2,0,11,0,0,0,0,4,0,3
NR_069581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073553/NR_069582,28,29,43,98,97,28,30,48,2,28,8,17,40,27,29,35,5,10,26,34,28,2,0
NR_069583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NR_069584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069590,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NR_069591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073556,20,33,63,55,69,23,39,50,6,59,8,28,71,44,35,92,27,13,33,37,59,15,9
NM_001269430/NM_001269429/NM_001269428,4,1,8,5,9,4,3,1,2,1,0,4,2,0,1,4,2,0,2,6,5,0,0
NM_073557,77,77,149,33,44,13,95,146,32,9,3,6,13,3,15,34,5,5,6,4,15,5,16
NR_069601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269433/NM_001269432/NM_001269431,79,111,128,125,126,61,90,177,21,30,9,37,61,28,50,213,28,22,29,27,49,15,20
NM_073559,0,0,5,2,1,0,0,8,0,0,1,0,3,0,1,1,0,0,1,0,0,0,4
NM_073560,10,9,29,24,23,5,11,10,1,3,0,6,17,3,15,28,1,7,4,12,15,0,0
NM_073561,974,1039,1503,1313,1069,522,1104,1620,292,646,119,396,796,395,586,1114,318,269,610,585,915,552,586
NM_182413,0,0,0,11,5,2,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,0,0
