"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YDL147W",301,206,80,26
"YDL146W",57,85,38,43
"YDL143W",757,439,131,30
"YDL141W",81,61,30,16
"YDL138W",103,45,44,29
"YDL137W",807,616,324,215
"YDL136W",2665,2276,786,511
"YDL133W",153,49,27,29
"YDL132W",94,61,26,26
"YDL131W",592,457,161,74
"YDL130W-A",62,96,60,64
"YDL130W",10845,9938,4412,3189
"YDL128W",878,470,108,38
"YDL127W",143,37,12,7
"YDL124W",211,170,74,48
"YDL122W",202,99,38,31
"YDL120W",275,172,85,25
"YDL117W",79,22,11,6
"YDL116W",343,125,30,25
"YDL112W",444,157,40,26
"YDL108W",118,47,16,6
"YDL107W",38,16,7,11
"YDL102W",164,73,19,16
"YDL099W",198,167,50,36
"YDL095W",1090,744,260,107
"YDL093W",236,189,94,44
"YDL092W",359,240,51,26
"YDL089W",75,51,15,26
"YDL086W",486,426,190,89
"YDL084W",851,696,311,216
"YDL082W",2846,2220,682,382
"YDL075W",2837,2752,1023,925
"YDL073W",78,73,36,36
"YDL070W",242,115,69,67
"YDL066W",669,591,341,283
"YDL064W",392,319,80,11
"YDL060W",193,43,8,9
"YDL058W",211,146,39,38
"YDL057W",56,14,10,3
"YDL056W",94,58,25,44
"YDL051W",806,610,259,149
"YDL046W",2520,2001,977,745
"YDL045W-A",281,166,30,70
"YDL031W",618,348,156,176
"YDL030W",75,36,16,11
"YDL029W",321,304,120,70
"YDL022W",125,106,28,36
"YDL021W",7,5,3,4
"YDL014W",3450,1730,417,184
"YDL013W",83,18,4,7
"YDL010W",47,40,24,18
"YDL008W",61,56,10,10
"YDL007W",634,602,250,126
"YDL006W",104,54,12,10
"YDL004W",239,216,88,41
"YDL003W",566,246,76,140
"YDL001W",52,31,8,7
"YDR002W",2503,2188,1118,778
"YDR003W-A",107,59,15,5
"YDR004W",66,42,18,25
"YDR007W",5,2,3,1
"YDR011W",180,125,61,66
"YDR012W",3803,2756,702,120
"YDR013W",77,62,31,14
"YDR021W",157,39,11,9
"YDR023W",1767,1522,532,231
"YDR025W",3420,3045,990,550
"YDR033W",91,95,61,48
"YDR034W-B",3,6,2,2
"YDR035W",298,228,72,49
"YDR037W",4246,3011,922,397
"YDR041W",200,86,10,10
"YDR044W",144,177,64,39
"YDR047W",303,160,40,34
"YDR049W",176,65,45,23
"YDR055W",184,75,28,16
"YDR057W",52,39,11,10
"YDR060W",1762,753,605,423
"YDR061W",157,89,23,27
"YDR062W",173,110,52,28
"YDR063W",352,303,141,94
"YDR064W",6386,6025,2200,1571
"YDR065W",16,75,83,29
"YDR068W",253,155,51,18
"YDR073W",109,53,24,31
"YDR074W",125,122,51,87
"YDR075W",66,30,17,28
"YDR077W",436,406,176,191
"YDR079W",150,66,22,3
"YDR080W",55,35,17,23
"YDR082W",58,19,10,10
"YDR083W",183,101,18,8
"YDR089W",116,49,9,8
"YDR092W",297,211,65,51
"YDR093W/YDR094W",670,349,154,125
"YDR096W",34,78,49,50
"YDR099W",634,634,214,180
"YDR100W",145,119,49,19
"YDR103W",154,89,37,44
"YDR108W",131,53,13,6
"YDR110W",59,43,14,8
"YDR115W",443,152,34,28
"YDR118W/YDR118W-A",54,16,12,8
"YDR119W",571,403,86,36
"YDR119W-A",5,12,12,10
"YDR121W",466,308,73,17
"YDR122W",83,77,30,28
"YDR127W",592,386,129,76
"YDR128W",158,141,58,49
"YDR137W",70,34,10,6
"YDR140W",66,35,15,11
"YDR145W",170,153,38,56
"YDR147W",206,83,28,21
"YDR150W",198,138,56,50
"YDR152W",744,436,101,67
"YDR156W/YDR157W",2076,775,135,73
"YDR158W",3278,2738,1215,699
"YDR159W",74,48,20,10
"YDR161W",522,384,108,21
"YDR163W",157,115,45,14
"YDR165W",552,283,65,11
"YDR167W",267,193,70,45
"YDR168W",426,348,149,138
"YDR170W-A",169,149,58,57
"YDR171W",357,2843,1255,1920
"YDR172W",441,584,225,257
"YDR174W",1053,840,333,255
"YDR176W",79,48,11,13
"YDR177W",562,574,222,147
"YDR178W",117,106,23,21
"YDR179W-A",54,15,4,0
"YDR180W",89,39,8,8
"YDR182W",372,175,33,9
"YDR183W",55,39,11,12
"YDR188W",397,240,65,28
"YDR189W",520,461,99,97
"YDR195W",127,165,84,154
"YDR197W",70,57,27,17
"YDR204W",192,133,59,31
"YDR205W",191,58,20,9
"YDR208W",214,146,75,125
"YDR210W",142,88,53,44
"YDR210W-B/YDR210W-A",227,164,93,84
"YDR211W",287,235,54,36
"YDR212W",625,418,92,34
"YDR214W",1067,1300,698,458
"YDR216W",23,304,148,122
"YDR221W",85,65,35,15
"YDR222W",249,111,32,30
"YDR225W",1794,1749,536,731
"YDR226W",1029,830,336,265
"YDR227W",88,141,238,248
"YDR229W",145,83,41,34
"YDR232W",94,58,46,24
"YDR234W",573,514,173,112
"YDR235W",125,30,18,13
"YDR237W",144,64,5,7
"YDR242W",24,12,7,4
"YDR244W",95,76,12,27
"YDR245W",332,112,17,25
"YDR246W",140,83,21,16
"YDR246W-A",39,25,17,18
"YDR251W",590,307,113,121
"YDR252W",28,88,21,23
"YDR254W",36,18,13,3
"YDR261W-B/YDR261W-A",121,108,57,69
"YDR262W",471,100,44,41
"YDR265W",68,22,11,2
"YDR268W",131,84,38,6
"YDR270W",165,71,20,26
"YDR272W",155,125,46,15
"YDR273W",59,179,100,98
"YDR275W",78,31,21,17
"YDR279W",195,109,47,18
"YDR280W",391,73,23,7
"YDR287W",120,110,44,12
"YDR288W",81,53,20,23
"YDR296W",216,87,25,18
"YDR297W",317,184,68,25
"YDR299W",1343,655,191,110
"YDR301W",512,166,57,34
"YDR302W",79,72,14,17
"YDR307W",135,69,24,6
"YDR311W",137,77,24,27
"YDR312W",324,245,105,121
"YDR316W",63,27,21,10
"YDR316W-B/YDR316W-A",834,680,376,355
"YDR318W",41,10,4,1
"YDR321W",898,837,342,251
"YDR322W",140,35,6,4
"YDR325W",51,38,14,6
"YDR330W",136,69,28,14
"YDR331W",85,62,19,17
"YDR332W",53,21,10,18
"YDR334W",203,76,40,30
"YDR335W",271,149,80,51
"YDR337W",125,65,38,36
"YDR347W",132,68,37,17
"YDR351W",150,41,16,17
"YDR352W",140,78,33,15
"YDR353W",2047,1691,651,271
"YDR354W",535,310,118,40
"YDR356W",49,80,62,32
"YDR358W",61,42,9,14
"YDR363W-A",536,445,170,55
"YDR365W-B/YDR365W-A",1633,1333,654,592
"YDR367W",241,182,79,34
"YDR368W",167,198,73,69
"YDR371W",73,37,9,9
"YDR373W",59,47,7,8
"YDR374W-A",96,57,17,15
"YDR376W",173,102,43,10
"YDR377W",99,85,18,16
"YDR379W",135,64,27,31
"YDR380W",57,59,76,159
"YDR381W",483,374,133,95
"YDR382W",6839,6073,2041,1523
"YDR385W",5361,3413,1336,707
"YDR386W",50,45,62,16
"YDR388W",530,493,251,133
"YDR389W",171,69,35,37
"YDR392W",191,72,27,15
"YDR393W",67,27,25,13
"YDR394W",765,483,101,57
"YDR395W",229,162,86,39
"YDR398W",903,465,226,128
"YDR399W",764,195,68,19
"YDR400W",68,46,15,2
"YDR405W",256,147,77,65
"YDR406W/YDR406W-A",38,58,29,21
"YDR409W",70,39,16,15
"YDR412W",291,128,9,7
"YDR416W",202,52,14,18
"YDR418W",5863,4973,2006,1131
"YDR420W",279,117,42,52
"YDR421W",63,41,19,13
"YDR427W",663,472,120,63
"YDR432W/YDR433W",7133,6211,4305,4013
"YDR434W",377,189,70,17
"YDR436W",30,18,6,14
"YDR439W",95,56,26,16
"YDR440W",160,96,43,40
"YDR444W",293,120,50,35
"YDR450W",10523,8601,4386,3212
"YDR452W",321,184,113,72
"YDR456W",302,196,42,29
"YDR457W",1037,594,333,259
"YDR460W",56,13,11,3
"YDR461W",4344,3239,1394,1934
"YDR462W",158,97,27,17
"YDR463W",219,143,39,41
"YDR464W",548,623,410,475
"YDR466W",112,64,38,23
"YDR469W",118,69,27,17
"YDR471W",4786,3325,872,201
"YDR472W",71,17,6,5
"YDR477W",165,84,25,20
"YDR478W",136,47,46,27
"YDR483W",772,665,238,128
"YDR484W",83,61,27,48
"YDR492W",162,69,19,16
"YDR493W",76,28,19,13
"YDR494W",101,43,21,13
"YDR510W",1378,1299,406,344
"YDR511W",87,39,22,27
"YDR513W",549,489,122,81
"YDR515W",28,31,14,40
"YDR517W",217,196,52,19
"YDR518W",101,81,50,25
"YDR519W",318,264,106,49
"YDR525W-A",94,55,10,6
"YDR527W",527,343,122,93
"YDR528W",163,83,42,48
"YDR531W",406,217,50,19
"YDR538W",236,189,91,37
"YDR539W",186,132,52,33
"YDR545W",217,132,56,49
"YIL177C",369,213,105,96
"YIL165C",75,59,18,23
"YIL157C",190,104,44,20
"YIL154C",216,147,37,15
"YIL149C",112,69,30,26
"YIL147C",215,142,70,52
"YIL145C",148,126,35,12
"YIL143C",122,45,22,23
"YIL139C",69,70,23,16
"YIL138C",28,44,22,3
"YIL137C",198,151,69,19
"YIL135C",120,213,60,85
"YIL133C",3874,3391,1057,372
"YIL131C",189,117,27,13
"YIL129C",102,88,61,31
"YIL127C",554,163,20,11
"YIL117C",62,54,18,15
"YIL115C",215,107,47,26
"YIL114C",129,81,33,23
"YIL109C",336,233,78,42
"YIL107C",31,35,20,13
"YIL105C",146,92,28,43
"YIL104C",132,21,6,5
"YIL101C",4,28,22,65
"YIL096C",222,97,16,9
"YIL094C",674,569,251,111
"YIL093C",211,72,7,13
"YIL091C",440,120,30,21
"YIL088C",274,248,121,81
"YIL087C",54,36,21,6
"YIL085C",277,143,65,29
"YIL083C",180,114,50,10
"YIL079C",260,131,55,34
"YIL077C",41,32,16,11
"YIL075C",2732,1821,810,743
"YIL074C",327,198,58,34
"YIL070C",140,178,55,87
"YIL069C",6451,4832,1558,465
"YIL068C",168,78,24,8
"YIL067C",97,76,34,24
"YIL065C",143,152,51,31
"YIL063C",561,414,176,133
"YIL062C",318,279,111,51
"YIL061C",99,41,13,13
"YIL055C",51,165,64,62
"YIL052C",6428,6023,2576,1651
"YIL051C",2946,2859,1430,782
"YIL047C-A/YIL047C",371,108,67,45
"YIL044C",111,96,22,26
"YIL043C",1690,1496,694,499
"YIL038C",237,138,51,49
"YIL035C",282,143,42,38
"YIL034C",449,329,148,35
"YIL033C",368,247,79,27
"YIL030C",287,124,38,42
"YIL027C",593,315,61,21
"YIL026C",55,42,13,14
"YIL023C",279,87,31,18
"YIL020C-A/YIL020C",603,363,86,29
"YIL017C",74,36,21,27
"YIL013C",48,26,21,18
"YIL009C-A",111,73,27,15
"YIL007C",35,19,3,6
"YIL004C",203,73,13,5
"YIL002C",96,67,42,22
"YIR002C",139,85,38,41
"YIR006C",478,357,128,63
"YIR008C",115,57,9,7
"YIR011C",110,38,11,7
"YIR018C-A",33,38,32,27
"YIR019C",44,32,25,22
"YIR024C",71,22,4,2
"YIR026C",362,215,96,23
"YIR030C",36,31,8,12
"YIR031C",39,26,11,10
"YIR032C",15,6,1,2
"YIR034C",230,281,116,110
"YIR035C",211,154,64,47
"YIR036C",212,169,76,36
"YIR038C",141,160,73,50
"YIR039C",20,24,10,14
"YIL162W",155,134,55,49
"YIL161W",59,23,4,8
"YIL159W",108,56,22,22
"YIL158W",420,157,53,67
"YIL156W-A/YIL156W-B",339,248,91,32
"YIL156W",159,80,46,61
"YIL153W",185,101,32,14
"YIL152W",51,32,15,10
"YIL148W",15483,13994,6283,4349
"YIL144W",83,71,36,51
"YIL142W",2016,1180,305,74
"YIL141W/YIL140W",166,154,73,70
"YIL136W",39,33,11,15
"YIL134W",118,47,30,26
"YIL130W",52,28,18,15
"YIL128W",379,118,36,25
"YIL126W",698,389,148,91
"YIL125W",139,124,52,40
"YIL124W",197,156,64,41
"YIL123W",1628,1063,649,420
"YIL122W",70,38,25,23
"YIL121W",50,46,40,13
"YIL120W",46,45,17,8
"YIL118W",309,115,21,31
"YIL116W",50,48,15,20
"YIL113W",35,31,18,12
"YIL112W",179,95,34,37
"YIL111W",64,47,20,26
"YIL110W",97,48,30,14
"YIL108W",156,95,47,38
"YIL106W",326,91,21,24
"YIL103W",179,54,15,10
"YIL099W",9,5,3,1
"YIL097W",23,19,4,9
"YIL095W",64,20,12,14
"YIL078W",1695,1523,720,431
"YIL076W",748,656,223,75
"YIL064W",501,352,77,13
"YIL060W",67,41,31,17
"YIL056W",213,303,180,257
"YIL053W",4195,2288,328,140
"YIL050W",122,69,29,31
"YIL049W",151,158,64,38
"YIL048W",61,26,7,13
"YIL046W",92,47,18,26
"YIL041W",702,794,273,204
"YIL040W",368,144,32,25
"YIL039W",351,321,137,74
"YIL036W",98,106,65,36
"YIL031W/YIL030W-A",94,73,47,45
"YIL022W",630,344,83,34
"YIL021W",429,212,58,25
"YIL019W",307,228,81,50
"YIL018W",2716,2183,904,786
"YIL016W",265,140,23,5
"YIL015W",501,243,56,28
"YIL014W",138,73,38,20
"YIL011W",63,71,31,13
"YIL010W",185,118,47,19
"YIL009W",151,29,14,10
"YIL008W",893,664,267,150
"YIL006W",38,54,11,27
"YIL005W",230,108,30,35
"YIL003W",147,85,24,21
"YIL002W-A",361,329,126,109
"YIL001W",68,26,12,3
"YIR003W",101,64,20,14
"YIR004W",131,65,8,15
"YIR005W",80,32,13,16
"YIR007W",52,41,11,7
"YIR010W",51,50,15,28
"YIR012W",850,447,149,54
"YIR014W",43,56,51,72
"YIR016W",88,44,26,15
"YIR021W",116,55,12,16
"YIR022W",644,514,259,150
"YIR023W",118,69,47,45
"YIR025W",36,3,5,2
"YIR033W",47,10,8,13
"YIR037W",304,259,130,100
"YEL077C",237,142,50,60
"YEL068C",125,87,33,36
"YEL063C",111,89,42,24
"YEL060C",132,150,91,114
"YEL059C-A",81,91,36,27
"YEL057C",29,9,4,2
"YEL055C",794,444,152,39
"YEL054C",3125,2443,1046,377
"YEL053C",285,178,32,45
"YEL050C",1004,370,74,43
"YEL047C",182,283,151,101
"YEL046C",95,114,84,71
"YEL039C",35,70,32,34
"YEL037C",1108,746,249,120
"YEL036C",423,185,48,23
"YEL029C",72,22,10,5
"YEL025C",79,80,41,34
"YEL018C-A",16,51,42,13
"YEL017C-A",80,70,34,35
"YEL016C",78,25,18,9
"YEL009C",3417,2487,1150,1312
"YEL002C",484,407,163,93
"YEL001C",831,757,316,137
"YER003C",676,667,255,192
"YER007C-A",833,695,261,133
"YER008C",244,167,72,82
"YER010C",81,59,17,8
"YER017C",267,176,73,55
"YER018C",132,54,47,16
"YER019C-A",1062,705,258,88
"YER026C",497,311,104,38
"YER027C",371,176,45,16
"YER028C",179,112,45,36
"YER029C",439,200,51,35
"YER031C",662,518,204,86
"YER033C",18,17,16,18
"YER036C",2667,1813,525,331
"YER043C",3419,1994,598,228
"YER044C",700,601,188,85
"YER045C",51,53,22,21
"YER048C",379,348,170,111
"YER050C",201,104,37,21
"YER052C",371,281,72,41
"YER053C",82,91,67,65
"YER053C-A",25,27,16,9
"YER054C",24,92,43,30
"YER055C",1633,1006,264,36
"YER056C",623,109,23,24
"YER056C-A",4963,4427,1651,837
"YER057C",700,561,338,334
"YER062C",94,133,65,58
"YER064C",103,32,17,21
"YER071C",146,121,30,26
"YER075C",165,38,21,11
"YER076C",33,16,9,17
"YER078C",257,186,37,36
"YER082C",153,95,20,8
"YER083C",232,181,56,13
"YER087C-B",1368,1189,504,196
"YER088C",168,175,83,60
"YER088C-A/YER089C",1282,816,321,309
"YER091C",700,87,30,10
"YER093C",138,80,37,21
"YER093C-A",70,75,26,36
"YER094C",890,612,224,108
"YER099C",195,68,9,5
"YER105C",300,169,117,58
"YER107C",155,86,35,20
"YER110C",2263,1380,516,194
"YER113C",193,63,26,18
"YER114C",136,45,23,26
"YER115C",196,98,34,24
"YER118C",171,95,39,12
"YER119C",298,166,44,36
"YER122C",747,577,256,212
"YER126C",397,155,47,14
"YER130C",129,108,40,58
"YER132C",129,69,29,35
"YER134C",139,66,27,5
"YER138C/YER137C-A",1349,980,599,545
"YER142C",36,24,6,9
"YER144C",139,76,37,36
"YER145C",691,436,174,113
"YER147C",302,66,46,33
"YER149C",240,186,34,29
"YER151C",213,151,59,47
"YER152C",344,203,70,30
"YER155C",507,396,183,152
"YER156C",675,351,98,50
"YER159C",320,260,47,84
"YER160C/YER159C-A",316,221,109,116
"YER161C",88,41,13,14
"YER163C",142,90,39,22
"YER168C",96,48,16,14
"YER172C",108,54,30,31
"YER174C",62,29,9,4
"YER175C",93,49,12,12
"YER180C",100,75,28,32
"YER181C",65,78,60,31
"YER183C",110,67,17,12
"YER186C",152,95,50,57
"YEL071W",1378,1024,329,279
"YEL066W",225,158,86,85
"YEL065W",1193,466,111,41
"YEL062W",59,29,11,6
"YEL058W",1098,816,339,129
"YEL056W",452,191,54,30
"YEL052W",381,239,51,42
"YEL051W",2554,2347,769,356
"YEL050W-A",18,56,40,18
"YEL044W",308,187,76,44
"YEL043W",158,179,94,108
"YEL042W",679,427,166,104
"YEL040W",1141,403,91,60
"YEL038W",225,207,69,36
"YEL034W",20924,18360,7645,6137
"YEL033W",525,574,257,139
"YEL032W",112,31,33,22
"YEL031W",1121,842,309,119
"YEL030W",15,11,15,13
"YEL027W",3782,3199,1277,763
"YEL026W",3815,1981,1235,1089
"YEL022W",289,147,58,30
"YEL021W",112,128,41,30
"YEL020W-A",1084,619,133,109
"YEL017W",179,109,30,22
"YEL015W",411,220,51,32
"YEL013W",94,55,23,12
"YEL012W",62,21,9,10
"YEL011W",21,30,24,8
"YEL007W",322,285,116,176
"YEL003W",334,219,73,18
"YER001W",262,69,18,14
"YER002W",320,193,27,16
"YER004W",176,141,83,80
"YER005W",113,48,32,29
"YER006W",1350,930,236,102
"YER007W",69,38,33,30
"YER009W",1668,1706,649,557
"YER011W",235,239,114,61
"YER012W",217,145,46,18
"YER013W",119,59,10,8
"YER014W",51,68,24,10
"YER015W",27,16,15,15
"YER019W",203,87,36,21
"YER020W",122,82,41,55
"YER021W",246,168,49,29
"YER022W",204,115,39,36
"YER023W",1334,1137,605,405
"YER025W",398,285,100,59
"YER030W",915,789,398,282
"YER032W",88,34,20,5
"YER034W",150,50,14,19
"YER035W",226,159,74,82
"YER037W",55,132,75,115
"YER040W",25,30,26,33
"YER041W",51,34,39,23
"YER042W",271,269,96,51
"YER046W",48,32,18,9
"YER048W-A",289,142,64,33
"YER049W",355,230,52,17
"YER051W",63,18,12,6
"YER058W",48,21,3,10
"YER059W",46,17,9,6
"YER060W",84,38,21,20
"YER063W",212,121,35,20
"YER067W",91,117,74,122
"YER068W",136,74,31,35
"YER069W",55,54,58,57
"YER070W",480,99,20,4
"YER072W",1154,878,267,82
"YER073W",176,86,21,11
"YER074W",3768,3601,1303,1064
"YER074W-A",295,215,56,47
"YER079W",46,56,27,41
"YER080W",300,256,125,53
"YER081W",781,570,338,282
"YER086W",4217,2976,1284,636
"YER087W",76,39,10,6
"YER090W",928,775,303,189
"YER092W",166,147,48,52
"YER095W",94,50,7,6
"YER097W/YER098W",290,484,341,170
"YER100W",339,226,82,49
"YER102W",4772,4271,1628,812
"YER103W",831,2936,1919,2155
"YER104W",17,238,279,215
"YER112W",216,166,13,11
"YER117W",4927,4386,1771,1125
"YER120W",875,680,177,74
"YER127W",253,120,31,6
"YER128W",110,106,33,46
"YER129W",108,58,25,17
"YER131W",5044,4566,1356,838
"YER136W",92,79,31,43
"YER137W-A",139,237,161,125
"YER138W-A",416,288,151,118
"YER140W",71,11,3,6
"YER141W",203,166,79,106
"YER143W",124,81,17,17
"YER146W",2180,1429,345,152
"YER148W",449,294,99,117
"YER150W",40,73,37,35
"YER154W",307,136,58,37
"YER157W",115,98,43,28
"YER164W",230,128,45,61
"YER165W",4975,3368,1261,820
"YER166W",374,187,93,75
"YER167W",56,43,28,47
"YER169W",153,90,41,78
"YER171W",176,91,45,25
"YER176W",1785,715,244,119
"YER177W",5860,5941,3404,3459
"YER178W",1476,1415,616,371
"YER182W",45,32,6,8
"YER189W/YER190W",294,186,86,77
"YFL057C",116,64,26,33
"YFL054C",38,34,12,6
"YFL048C",196,176,38,21
"YFL045C",1538,1114,546,311
"YFL044C",28,19,13,8
"YFL042C",118,74,24,20
"YFL039C",5702,4880,1791,1210
"YFL038C",4288,3719,1691,798
"YFL034C-B",205,287,162,330
"YFL034C-A",1333,853,184,92
"YFL033C",67,79,39,31
"YFL028C",358,231,42,35
"YFL027C",135,25,13,15
"YFL025C",81,44,28,15
"YFL022C",1357,1062,331,197
"YFL018C",456,414,194,121
"YFL017C",461,355,152,92
"YFL016C",323,670,325,439
"YFL013C",66,24,7,7
"YFL010C",997,882,407,344
"YFL002C",217,60,17,6
"YFR003C",69,78,9,21
"YFR005C",181,80,19,20
"YFR011C",101,40,5,2
"YFR014C",98,85,57,37
"YFR015C",26,69,42,35
"YFR016C",561,401,215,127
"YFR017C",50,81,28,31
"YFR018C",135,98,47,35
"YFR024C-A",581,477,147,66
"YFR025C",278,150,50,8
"YFR028C",324,272,87,138
"YFR031C",152,91,31,19
"YFR031C-A",7663,5798,2323,1003
"YFR032C",70,297,260,502
"YFR032C-A",12560,11152,4594,3792
"YFR033C",2254,1533,636,649
"YFR034C",130,90,63,42
"YFR037C",1351,1006,384,322
"YFR039C",183,87,18,30
"YFR041C",44,35,11,5
"YFR044C",914,842,348,183
"YFR047C",179,156,54,55
"YFR050C",524,312,69,55
"YFR051C",939,614,143,108
"YFR052C-A/YFR053C",111,216,160,291
"YFL062W",48,39,20,7
"YFL049W",79,50,15,13
"YFL047W",213,95,17,28
"YFL046W",75,34,9,2
"YFL041W",138,55,17,12
"YFL037W",677,561,172,98
"YFL036W",112,80,40,51
"YFL034W",66,39,18,11
"YFL032W/YFL031W",40,73,41,49
"YFL026W",1310,605,145,64
"YFL023W",176,84,22,13
"YFL021W",177,137,48,51
"YFL017W-A",204,97,11,11
"YFL014W",152,127,116,135
"YFL009W",183,74,29,27
"YFL008W",227,126,27,20
"YFL007W",628,429,194,148
"YFL005W",287,185,52,11
"YFL004W",538,351,108,27
"YFL002W-A/YFL002W-B",212,124,72,70
"YFL001W",81,39,11,15
"YFR001W",438,213,36,21
"YFR002W",171,153,41,41
"YFR004W",279,194,47,20
"YFR006W",184,120,52,18
"YFR007W",45,16,12,7
"YFR009W/YFR009W-A",1318,842,264,105
"YFR010W",433,326,117,127
"YFR013W",134,66,13,32
"YFR019W",167,95,43,37
"YFR020W",61,28,24,35
"YFR021W",275,106,21,12
"YFR022W",66,55,16,17
"YFR029W",64,36,26,11
"YFR030W",99,76,29,33
"YFR034W-A",92,73,50,30
"YFR036W",118,60,17,9
"YFR038W",246,76,37,28
"YFR040W",97,33,19,28
"YFR042W",116,66,16,11
"YFR045W",68,29,7,12
"YFR048W",222,122,30,49
"YFR049W",117,97,45,16
"YFR052W",493,310,63,29
"YGL257C",65,58,22,22
"YGL252C",147,118,32,43
"YGL246C",300,101,20,19
"YGL242C",83,70,26,14
"YGL237C",88,37,16,11
"YGL236C",252,71,26,13
"YGL231C",542,427,98,22
"YGL229C",26,24,7,16
"YGL226C-A",550,490,229,182
"YGL224C",105,98,14,21
"YGL222C",56,54,16,16
"YGL221C",836,684,259,64
"YGL219C",277,190,72,35
"YGL213C",141,69,4,4
"YGL206C",268,200,123,90
"YGL203C",196,91,23,11
"YGL201C",96,40,7,8
"YGL200C",2316,1945,983,522
"YGL194C-A",52,51,34,15
"YGL194C",57,19,11,12
"YGL193C",114,30,21,24
"YGL190C",300,175,83,155
"YGL189C",23110,18816,8731,6015
"YGL188C",499,292,91,71
"YGL186C",279,160,19,6
"YGL185C",68,43,18,10
"YGL179C",149,147,65,77
"YGL176C",90,31,16,16
"YGL173C",2973,1629,865,468
"YGL167C",556,303,154,129
"YGL164C",168,120,23,21
"YGL163C",150,124,56,41
"YGL161C",171,82,33,33
"YGL154C",53,22,12,9
"YGL150C",118,89,53,49
"YGL147C",8212,6775,2368,1386
"YGL143C",74,42,9,9
"YGL142C",104,27,14,4
"YGL140C",99,86,46,37
"YGL136C",72,28,12,7
"YGL131C",29,47,42,12
"YGL129C",126,77,22,22
"YGL127C",127,47,9,20
"YGL122C",520,463,117,73
"YGL120C",402,302,88,40
"YGL112C",450,275,41,12
"YGL110C",602,266,58,50
"YGL108C",171,72,20,5
"YGL107C",295,102,23,50
"YGL104C",46,26,8,4
"YGL095C",91,71,24,20
"YGL094C",135,84,47,37
"YGL091C",74,34,14,8
"YGL087C",241,256,75,28
"YGL084C",155,59,15,12
"YGL078C",747,301,82,38
"YGL077C",295,166,41,37
"YGL076C",5802,5335,2812,1868
"YGL070C",94,25,9,3
"YGL065C",186,64,10,10
"YGL064C",140,61,17,23
"YGL061C",81,43,17,8
"YGL056C",257,129,49,36
"YGL054C",115,125,45,27
"YGL049C",175,97,29,16
"YGL048C",558,394,100,30
"YGL044C",73,50,15,9
"YGL040C",703,413,154,62
"YGL038C",219,81,49,54
"YGL037C",483,1331,601,687
"YGL032C",451,541,211,255
"YGL031C",2478,2328,874,616
"YGL028C",188,38,23,26
"YGL027C",345,248,126,35
"YGL026C",1491,1209,544,366
"YGL025C",64,24,3,12
"YGL023C",65,77,24,24
"YGL020C",294,238,66,54
"YGL018C",78,53,15,13
"YGL013C",294,213,105,59
"YGL011C",638,528,166,66
"YGL009C",1976,1507,508,168
"YGL008C",204,230,141,60
"YGL004C",77,50,12,12
"YGL003C",87,19,25,12
"YGL001C",621,498,282,111
"YGR001C",208,213,97,51
"YGR002C",84,81,26,62
"YGR005C",344,252,64,28
"YGR008C",87,80,54,32
"YGR009C",189,83,24,25
"YGR015C",49,31,12,11
"YGR020C",2004,2164,893,665
"YGR024C",60,35,16,11
"YGR027C",6515,6583,3054,3112
"YGR030C",213,26,6,6
"YGR033C",132,57,15,14
"YGR035C",84,142,73,40
"YGR036C",41,30,10,5
"YGR037C",1998,1722,743,321
"YGR038C-B/YGR038C-A",470,372,215,214
"YGR043C",9,12,7,3
"YGR044C",61,39,25,12
"YGR047C",159,42,20,23
"YGR053C",23,7,1,1
"YGR061C",1429,776,275,158
"YGR062C",78,28,21,20
"YGR063C",171,59,24,18
"YGR065C",178,63,37,38
"YGR071C",56,20,11,9
"YGR076C",144,71,14,6
"YGR077C",107,55,26,21
"YGR078C",212,119,30,8
"YGR081C",187,66,14,6
"YGR083C",122,166,81,86
"YGR084C",351,274,141,136
"YGR085C",4265,3531,1308,638
"YGR086C",1776,2087,1139,921
"YGR095C",186,87,23,25
"YGR098C",65,37,17,13
"YGR102C",102,54,27,16
"YGR104C",78,32,13,3
"YGR106C",938,672,226,95
"YGR109C",90,10,2,2
"YGR117C",144,59,16,3
"YGR119C",397,184,71,51
"YGR120C",101,42,16,5
"YGR121C",27,24,8,6
"YGR123C",142,128,46,16
"YGR128C",1373,641,129,84
"YGR130C",298,296,145,118
"YGR132C",271,240,79,30
"YGR138C",62,55,48,46
"YGR146C",146,161,80,91
"YGR147C",214,51,17,10
"YGR148C",5898,5787,2200,1648
"YGR150C",173,99,23,32
"YGR151C/YGR152C",128,78,16,5
"YGR154C",56,30,14,18
"YGR158C",323,178,52,36
"YGR159C",1372,285,97,131
"YGR161C",25,72,55,51
"YGR161C-D/YGR161C-C",571,437,259,224
"YGR168C",58,25,15,22
"YGR169C",62,39,10,9
"YGR169C-A",229,230,99,82
"YGR171C",51,27,10,16
"YGR172C",273,187,41,11
"YGR174C",50,29,20,16
"YGR175C",853,446,136,76
"YGR177C",187,74,42,33
"YGR178C",397,326,138,98
"YGR179C",97,64,29,19
"YGR180C",1863,2050,757,851
"YGR182C",234,170,87,72
"YGR183C",17,13,9,9
"YGR184C",452,246,119,82
"YGR185C",1916,1710,577,369
"YGR187C",322,145,29,9
